0	IDR	9201
1	B	546
2	B	695
3	P	2773
4	B	882
5	B	705
6	P	3771
7	B	549
8	B	686
9	P	3134
10	B	421
11	B	111
12	P	2099
13	B	660
14	B	495
15	P	2950
16	B	512
17	B	418
18	P	2632
19	B	509
20	B	480
21	P	2501
22	B	609
23	B	361
24	IDR	9100
25	B	426
26	B	454
27	P	3593
28	B	635
29	B	396
30	P	5778
31	B	359
32	B	475
33	P	2799
34	B	419
35	B	362
36	P	2724
37	B	526
38	B	531
39	P	2675
40	B	530
41	B	567
42	P	2965
43	B	556
44	B	561
45	P	3114
46	B	747
47	B	384
48	IDR	8914
49	B	349
50	B	418
51	P	2401
52	B	604
53	B	732
54	P	3856
55	B	345
56	B	365
57	P	2953
58	B	590
59	B	520
60	P	4410
61	B	799
62	B	934
63	P	3819
64	B	849
65	B	697
66	P	4045
67	B	417
68	B	662
69	P	3424
70	B	952
71	B	633
72	IDR	8744
