0	IDR	9201
1	B	546
2	B	695
3	P	2773
4	B	882
5	B	705
6	P	3771
7	B	549
8	B	686
9	P	3134
10	B	421
11	B	111
12	P	2099
13	B	660
14	B	495
15	P	2950
16	B	512
17	B	4180
18	P	2632
19	B	509
20	B	480
21	P	2501
22	B	609
23	B	361
24	IDR	9100
25	B	426
26	B	454
27	P	3593
28	B	635
29	B	396
30	P	5778
31	B	359
32	B	475
33	P	2799
34	B	419
35	B	362
36	P	2724
37	B	526
38	B	531
39	P	2675
40	B	530
41	B	567
42	P	2965
43	B	556
44	B	561
45	P	3114
46	B	747
47	B	384
48	IDR	8914
49	B	349
50	B	418
51	P	2401
52	B	604
53	B	732
54	P	3856
55	B	345
56	B	365
57	P	2953
58	B	590
59	B	520
60	P	4410
61	B	799
62	B	934
63	P	3819
64	B	849
65	B	697
66	P	4045
67	B	417
68	B	662
69	P	3424
70	B	952
71	B	633
72	IDR	8744
73	B	441
74	B	451
75	P	2540
76	B	751
77	B	814
78	P	3326
79	B	662
80	B	683
81	P	2369
82	B	531
83	B	486
84	P	2734
85	B	426
86	B	407
87	P	2295
88	B	485
89	B	439
90	P	2742
91	B	485
92	B	497
93	P	2890
94	B	727
95	B	444
96	IDR	8935
97	B	579
98	B	624
99	P	3066
100	B	813
101	B	647
102	P	4591
103	B	724
104	B	611
105	P	3363
106	B	383
107	B	396
108	P	2123
109	B	329
110	B	306
111	P	2006
112	B	444
113	B	414
114	P	2086
115	B	368
116	B	355
117	P	3620
118	B	816
119	B	408
120	IDR	8689
121	B	301
122	B	280
123	P	1771
124	B	229
125	B	273
126	P	1475
127	B	225
128	B	151
129	P	1883
130	B	96
131	B	191
132	P	1631
133	B	307
134	B	279
135	P	1780
136	B	308
137	B	309
138	P	1952
139	B	39
140	B	364
141	P	12891
142	B	1351
143	B	1028
144	IDR	12752
145	B	921
146	B	1251
147	P	5078
148	B	1223
149	B	1247
150	P	5410
151	B	1369
152	B	1073
153	P	6682
154	B	762
155	B	791
156	P	4678
157	B	622
158	B	571
159	P	4386
160	B	748
161	B	670
162	P	5066
163	B	552
164	B	386
165	P	3792
166	B	765
167	B	383
168	IDR	12519
169	B	240
170	B	241
171	P	2668
172	B	238
173	B	447
174	P	2672
175	B	196
176	B	170
177	P	3937
178	B	102
179	B	89
180	P	1569
181	B	254
182	B	288
183	P	2850
184	B	210
185	B	161
186	P	2348
187	B	139
188	B	118
189	P	2380
190	B	330
191	B	265
192	IDR	12533
193	B	120
194	B	136
195	P	2222
196	B	416
197	B	336
198	P	5893
199	B	263
200	B	329
201	P	2251
202	B	450
203	B	259
204	P	3035
205	B	147
206	B	250
207	P	1892
208	B	136
209	B	142
210	P	2486
211	B	141
212	B	298
213	P	3073
214	B	420
215	B	310
216	IDR	12506
217	B	325
218	B	290
219	P	2106
220	B	221
221	B	322
222	P	3661
223	B	279
224	B	206
225	P	3021
226	B	414
227	B	291
228	P	2863
229	B	597
230	B	433
231	P	3370
232	B	203
233	B	269
234	P	2954
235	B	170
236	B	224
237	P	1889
238	B	1151
239	B	558
240	IDR	12319
241	B	617
242	B	468
243	P	3427
244	B	534
245	B	555
246	P	4204
247	B	585
248	B	491
249	P	4271
250	B	580
251	B	531
252	P	4752
253	B	521
254	B	400
255	P	10961
256	B	387
257	B	322
258	P	2860
259	B	248
260	B	278
261	P	3585
262	B	658
263	B	404
264	IDR	11351
265	B	194
266	B	201
267	P	1978
268	B	213
269	B	220
270	P	2374
271	B	201
272	B	248
273	P	2722
274	B	154
275	B	230
276	P	4543
277	B	272
278	B	305
279	P	2386
280	B	714
281	B	814
282	P	4146
283	B	556
284	B	481
285	P	3350
286	B	722
287	B	354
288	IDR	11184
289	B	291
290	B	297
291	P	2792
292	B	367
293	B	243
294	P	2594
295	B	199
296	B	288
297	P	2818
298	B	192
299	B	228
300	P	3325
301	B	457
302	B	518
303	P	3272
304	B	276
305	B	356
306	P	2467
307	B	603
308	B	657
309	P	3824
310	B	965
311	B	442
312	IDR	10831
313	B	511
314	B	429
315	P	2809
316	B	327
317	B	385
318	P	2547
319	B	377
320	B	287
321	P	2501
322	B	340
323	B	269
324	P	2708
325	B	372
326	B	209
327	P	2502
328	B	188
329	B	151
330	P	1900
331	B	201
332	B	191
333	P	2088
334	B	534
335	B	357
336	IDR	10796
337	B	352
338	B	316
339	P	2255
340	B	223
341	B	175
342	P	2537
343	B	252
344	B	370
345	P	2849
346	B	434
347	B	324
348	P	2799
349	B	328
350	B	295
351	P	3446
352	B	265
353	B	474
354	P	5883
355	B	290
356	B	222
357	P	3641
358	B	127
359	B	261
360	IDR	789
361	B	259
362	B	332
363	P	1000
364	B	274
365	B	252
366	P	1252
367	B	199
368	B	271
369	P	1568
370	B	171
371	B	117
372	P	923
373	B	217
374	B	263
375	P	1661
376	B	283
377	B	316
378	P	1485
379	B	286
380	B	228
381	P	1447
382	B	248
383	B	195
384	IDR	7811
385	B	55
386	B	66
387	P	473
388	B	320
389	B	237
390	P	1208
391	B	221
392	B	160
393	P	1285
394	B	177
395	B	197
396	P	1391
397	B	577
398	B	488
399	P	2138
400	B	958
401	B	1004
402	P	3029
403	B	1022
404	B	1131
405	P	3261
406	B	564
407	B	286
408	IDR	13064
409	B	284
410	B	248
411	P	1695
412	B	303
413	B	225
414	P	1756
415	B	102
416	B	104
417	P	1453
418	B	93
419	B	67
420	P	732
421	B	188
422	B	221
423	P	1573
424	B	1248
425	B	1293
426	P	6653
427	B	1463
428	B	1494
429	P	4694
430	B	2373
431	B	736
432	IDR	13344
433	B	267
434	B	270
435	P	2755
436	B	262
437	B	259
438	P	3231
439	B	117
440	B	196
441	P	2079
442	B	213
443	B	281
444	P	2804
445	B	191
446	B	223
447	P	2229
448	B	400
449	B	431
450	P	3537
451	B	776
452	B	938
453	P	4429
454	B	2188
455	B	1570
456	IDR	12932
457	B	1415
458	B	496
459	P	5245
460	B	509
461	B	448
462	P	8265
463	B	491
464	B	615
465	P	3408
466	B	596
467	B	656
468	P	4106
469	B	459
470	B	253
471	P	3918
472	B	192
473	B	154
474	P	2458
475	B	195
476	B	215
477	P	3759
478	B	502
479	B	424
480	IDR	14117
481	B	176
482	B	235
483	P	2519
484	B	287
485	B	282
486	P	5646
487	B	146
488	B	127
489	P	1818
490	B	522
491	B	513
492	P	4070
493	B	629
494	B	607
495	P	4011
496	B	732
497	B	849
498	P	4535
499	B	132
500	B	108
501	P	2101
502	B	398
503	B	278
504	IDR	14074
505	B	269
506	B	271
507	P	3409
508	B	172
509	B	195
510	P	2634
511	B	273
512	B	211
513	P	3259
514	B	146
515	B	85
516	P	1751
517	B	234
518	B	269
519	P	3003
520	B	503
521	B	503
522	P	3839
523	B	1045
524	B	257
525	P	2102
526	B	552
527	B	369
528	IDR	7913
529	B	251
530	B	200
531	P	1855
532	B	233
533	B	171
534	P	1892
535	B	243
536	B	213
537	P	2088
538	B	178
539	B	365
540	P	2315
541	B	506
542	B	493
543	P	4057
544	B	414
545	B	366
546	P	2509
547	B	368
548	B	394
549	P	2886
550	B	692
551	B	255
552	IDR	10146
553	B	234
554	B	241
555	P	1863
556	B	288
557	B	256
558	P	2168
559	B	161
560	B	214
561	P	1971
562	B	154
563	B	163
564	P	2131
565	B	164
566	B	232
567	P	1977
568	B	222
569	B	297
570	P	2097
571	B	418
572	B	380
573	P	3036
574	B	663
575	B	360
576	IDR	10118
577	B	286
578	B	364
579	P	2373
580	B	341
581	B	329
582	P	2390
583	B	289
584	B	231
585	P	2446
586	B	167
587	B	260
588	P	2100
589	B	328
590	B	292
591	P	2295
592	B	224
593	B	261
594	P	2277
595	B	219
596	B	281
597	P	2557
598	B	706
599	B	328
600	IDR	10142
601	B	324
602	B	308
603	P	2091
604	B	380
605	B	308
606	P	2733
607	B	389
608	B	318
609	P	3006
610	B	274
611	B	231
612	P	2520
613	B	196
614	B	147
615	P	2016
616	B	166
617	B	199
618	P	2005
619	B	154
620	B	194
621	P	1115
622	B	213
623	B	132
624	IDR	10212
625	B	162
626	B	134
627	P	824
628	B	118
629	B	139
630	P	878
631	B	121
632	B	115
633	P	741
634	B	90
635	B	109
636	P	908
637	B	115
638	B	97
639	P	615
640	B	171
641	B	184
642	P	935
643	B	194
644	B	151
645	P	1048
646	B	806
647	B	374
648	IDR	10269
649	B	185
650	B	152
651	P	1393
652	B	143
653	B	138
654	P	791
655	B	99
656	B	113
657	P	3424
658	B	111
659	B	77
660	P	476
661	B	85
662	B	72
663	P	506
664	B	92
665	B	105
666	P	785
667	B	288
668	B	420
669	P	1607
670	B	1267
671	B	541
672	IDR	10443
673	B	220
674	B	151
675	P	1471
676	B	147
677	B	123
678	P	707
679	B	104
680	B	118
681	P	785
682	B	153
683	B	162
684	P	817
685	B	159
686	B	158
687	P	809
688	B	171
689	B	154
690	P	860
691	B	198
692	B	193
693	P	989
694	B	192
695	B	163
696	IDR	10562
697	B	103
698	B	121
699	P	8204
700	B	276
701	B	307
702	P	1536
703	B	445
704	B	382
705	P	2588
706	B	557
707	B	584
708	P	2381
709	B	513
710	B	479
711	P	2757
712	B	421
713	B	344
714	P	2591
715	B	284
716	B	401
717	P	2009
718	B	698
719	B	450
720	IDR	7698
721	B	389
722	B	484
723	P	2603
724	B	497
725	B	516
726	P	2972
727	B	483
728	B	459
729	P	2422
730	B	450
731	B	367
732	P	2436
733	B	307
734	B	322
735	P	2458
736	B	484
737	B	405
738	P	2919
739	B	368
740	B	437
741	P	3482
742	B	1310
743	B	1171
744	IDR	9175
745	B	1102
746	B	961
747	P	5329
748	B	773
749	B	819
750	P	5451
751	B	1244
752	B	890
753	P	4412
754	B	541
755	B	480
756	P	3004
757	B	596
758	B	600
759	P	5111
760	B	611
761	B	373
762	P	2662
763	B	377
764	B	248
765	P	2244
766	B	557
767	B	322
768	IDR	11237
769	B	557
770	B	554
771	P	2162
772	B	528
773	B	423
774	P	2470
775	B	373
776	B	206
777	P	2483
778	B	222
779	B	284
780	P	2160
781	B	219
782	B	175
783	P	1459
784	B	284
785	B	272
786	P	1583
787	B	181
788	B	169
789	P	1734
790	B	186
791	B	156
792	IDR	11602
793	B	169
794	B	65
795	P	1193
796	B	185
797	B	191
798	P	1508
799	B	411
800	B	250
801	P	1684
802	B	475
803	B	502
804	P	2690
805	B	595
806	B	687
807	P	3536
808	B	539
809	B	803
810	P	3329
811	B	799
812	B	670
813	P	3304
814	B	927
815	B	377
816	IDR	11481
817	B	710
818	B	725
819	P	3522
820	B	1751
821	B	1139
822	P	4664
823	B	645
824	B	457
825	P	3804
826	B	491
827	B	445
828	P	2039
829	B	654
830	B	586
831	P	2873
832	B	325
833	B	243
834	P	2869
835	B	231
836	B	291
837	P	1952
838	B	515
839	B	270
840	IDR	11780
841	B	337
842	B	409
843	P	1804
844	B	531
845	B	670
846	P	3661
847	B	620
848	B	404
849	P	2710
850	B	509
851	B	659
852	P	3998
853	B	1031
854	B	892
855	P	5726
856	B	722
857	B	545
858	P	6426
859	B	610
860	B	477
861	P	4204
862	B	1055
863	B	418
864	IDR	7410
865	B	400
866	B	441
867	P	2600
868	B	228
869	B	273
870	P	2452
871	B	118
872	B	180
873	P	3884
874	B	333
875	B	238
876	P	1675
877	B	243
878	B	226
879	P	1835
880	B	264
881	B	296
882	P	2438
883	B	263
884	B	279
885	P	2267
886	B	455
887	B	257
888	IDR	7652
889	B	296
890	B	219
891	P	1604
892	B	273
893	B	378
894	P	1953
895	B	378
896	B	320
897	P	2414
898	B	392
899	B	376
900	P	2075
901	B	588
902	B	579
903	P	2720
904	B	513
905	B	375
906	P	2386
907	B	569
908	B	694
909	P	3688
910	B	989
911	B	508
912	IDR	7390
913	B	759
914	B	694
915	P	2407
916	B	456
917	B	296
918	P	2301
919	B	443
920	B	324
921	P	2499
922	B	379
923	B	318
924	P	2235
925	B	230
926	B	197
927	P	1763
928	B	352
929	B	411
930	P	3499
931	B	161
932	B	129
933	P	1049
934	B	340
935	B	237
936	IDR	7441
937	B	294
938	B	588
939	P	3604
940	B	1636
941	B	1706
942	P	3734
943	B	2178
944	B	1623
945	P	4731
946	B	879
947	B	537
948	P	4302
949	B	916
950	B	945
951	P	4260
952	B	802
953	B	768
954	P	4234
955	B	584
956	B	400
957	P	3774
958	B	638
959	B	368
960	IDR	7382
961	B	409
962	B	349
963	P	2682
964	B	299
965	B	294
966	P	2024
967	B	254
968	B	303
969	P	2797
970	B	282
971	B	312
972	P	1869
973	B	304
974	B	402
975	P	2444
976	B	500
977	B	637
978	P	3339
979	B	694
980	B	692
981	P	3981
982	B	822
983	B	327
984	IDR	7189
985	B	473
986	B	507
987	P	2755
988	B	690
989	B	593
990	P	3739
991	B	556
992	B	690
993	P	4020
994	B	658
995	B	610
996	P	3392
997	B	434
998	B	386
999	P	2624
1000	B	451
1001	B	372
1002	P	2350
1003	B	380
1004	B	303
1005	P	2748
1006	B	769
1007	B	317
1008	IDR	7699
1009	B	325
1010	B	389
1011	P	2573
1012	B	349
1013	B	383
1014	P	2384
1015	B	388
1016	B	456
1017	P	2304
1018	B	239
1019	B	248
1020	P	1978
1021	B	303
1022	B	323
1023	P	1759
1024	B	291
1025	B	199
1026	P	1756
1027	B	371
1028	B	329
1029	P	1716
1030	B	1856
1031	B	1278
1032	IDR	7336
1033	B	830
1034	B	786
1035	P	4148
1036	B	864
1037	B	856
1038	P	3824
1039	B	461
1040	B	344
1041	P	2637
1042	B	439
1043	B	474
1044	P	2524
1045	B	471
1046	B	420
1047	P	3531
1048	B	376
1049	B	284
1050	P	2048
1051	B	257
1052	B	284
1053	P	2152
1054	B	378
1055	B	201
1056	IDR	7515
1057	B	340
1058	B	225
1059	P	1691
1060	B	328
1061	B	230
1062	P	1603
1063	B	797
1064	B	805
1065	P	3859
1066	B	706
1067	B	421
1068	P	4633
1069	B	176
1070	B	245
1071	P	1719
1072	B	178
1073	B	397
1074	P	6424
1075	B	700
1076	B	630
1077	P	2702
1078	B	593
1079	B	542
1080	IDR	6909
1081	B	509
1082	B	851
1083	P	2475
1084	B	326
1085	B	838
1086	P	2884
1087	B	246
1088	B	581
1089	P	2640
1090	B	1083
1091	B	1075
1092	P	3151
1093	B	907
1094	B	846
1095	P	2665
1096	B	233
1097	B	309
1098	P	2390
1099	B	595
1100	B	363
1101	P	2235
1102	B	899
1103	B	176
1104	IDR	6923
1105	B	228
1106	B	195
1107	P	1857
1108	B	116
1109	B	173
1110	P	1054
1111	B	88
1112	B	256
1113	P	1625
1114	B	290
1115	B	905
1116	P	2842
1117	B	524
1118	B	572
1119	P	2746
1120	B	446
1121	B	581
1122	P	2459
1123	B	390
1124	B	655
1125	P	2426
1126	B	1126
1127	B	1140
1128	IDR	6724
1129	B	450
1130	B	787
1131	P	3840
1132	B	538
1133	B	555
1134	P	2364
1135	B	244
1136	B	835
1137	P	2659
1138	B	624
1139	B	504
1140	P	2304
1141	B	865
1142	B	926
1143	P	2366
1144	B	637
1145	B	492
1146	P	2634
1147	B	855
1148	B	910
1149	P	2214
1150	B	1097
1151	B	280
1152	IDR	6699
1153	B	794
1154	B	808
1155	P	2609
1156	B	359
1157	B	471
1158	P	2387
1159	B	946
1160	B	1103
1161	P	2390
1162	B	236
1163	B	474
1164	P	2131
1165	B	1095
1166	B	1728
1167	P	8499
1168	B	735
1169	B	549
1170	P	4143
1171	B	667
1172	B	619
1173	P	3702
1174	B	892
